"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","stratification","ATE","8","60","~3","Raw","No","Original","trees",NA,NA,NA,-0.0129424446105102,0.0217111266187701,0.551161946697721,-0.0554954708470884,0.0296105816260681
"PSA","stratification","ATE","8","60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.358740200474295,0.809128055850924,0.657548445127895,-1.22712164787443,1.94460204882302
"PSA","stratification","ATE","8","60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.000178219610573133,0.0265321058765643,0.994641222130636,-0.0521801915626428,0.0518237523414965
"PSA","stratification","ATE","8","60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.0324287179087366,0.835506659144077,0.969043202133557,-1.66999167867451,1.60513424285704
"PSA","stratification","ATE","8","60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.0176513376785896,0.0214733722679747,0.411168411143602,-0.0597383739504413,0.024435698593262
"PSA","stratification","ATE","8","60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.58194757504834,0.786524444006816,0.459448517946707,-0.959612008165409,2.12350715826209
"PSA","stratification","ATE","8","70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00108572961596043,0.0351980341249734,0.975395211935757,-0.0679011495955993,0.0700726088275201
"PSA","stratification","ATE","8","70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.421416489197092,1.00074266749701,0.673725005915085,-2.38283607528378,1.54000309688959
"PSA","stratification","ATE","8","70","~3","Raw","No","Original","trees",NA,NA,NA,0.0191392487422903,0.0209805150765949,0.361752198041685,-0.0219818051849353,0.060260302669516
"PSA","stratification","ATE","8","70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.836384190754416,0.780424327387101,0.283981480957962,-2.36598776509203,0.693219383583197
"PSA","stratification","ATE","8","70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.017361102482039,0.0283559790298063,0.540439031524663,-0.0382155951627543,0.0729378001268323
"PSA","stratification","ATE","8","70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.779561057078057,1.00428377627326,0.437702414743449,-2.74792108883153,1.18879897467542
"PSA","stratification","ATE","8","70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.02021937730203,0.020688506685466,0.328526307855856,-0.0203293506953996,0.0607681052994595
"PSA","stratification","ATE","8","70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.776939463976855,0.783571334875603,0.32154309577848,-2.31271105965101,0.7588321316973
"PSA","IPTW","ATE",NA,"20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,-0.0195172995926461,0.0313140712941616,0.533229700303307,-0.0808917515385225,0.0418571523532303
